SALE_DATE,TOTAL_SALES,TOTAL_QTY,TRANSACTIONS,ROLLING_7_DAY,ROLLING_30_DAY,LAG_1_DAY,LAG_7_DAY,LAG_30_DAY
2025-08-24,3488.030613,1646.0,764,5047.084638428571,5018.016241433333,6036.609785,4042.766295,5979.109451
2025-08-25,4232.492783,1898.0,826,4972.231969,4934.997899999999,3488.030613,4756.461469,6723.043026
2025-08-26,4691.203862,1962.0,812,4913.171097571429,4964.8804913,4232.492783,5104.629962,3794.726123
2025-08-27,4305.321761,2003.0,871,4861.559692857142,4965.7056719,4691.203862,4666.601594,4280.566343
2025-08-28,4038.260394,1863.0,838,4779.663924857143,4946.221370033333,4305.321761,4611.53077,4622.78945
2025-08-29,7464.2541,2647.0,1081,4893.7390425714275,5042.5623000333335,4038.260394,6665.728276,4574.0262
2025-08-30,5762.559477,2317.0,914,4854.588998571429,5054.042741833334,7464.2541,6036.609785,5418.146223
2025-08-31,4582.99657,1695.0,749,5011.012706714285,4995.183640066667,5762.559477,3488.030613,6348.769623
2025-09-01,5167.7792469999995,1921.0,830,5144.625058714286,4970.674076133333,4582.99657,4232.492783,5903.066165
2025-09-02,5048.907802,1875.0,798,5195.725621571429,4998.607346633334,5167.7792469999995,4691.203862,4210.909687
2025-09-03,4446.364389,1966.0,846,5215.8745684285705,4996.1665041666665,5048.907802,4305.321761,4519.589663
2025-09-04,4655.573939,1904.0,825,5304.062217714286,4969.8031961,4446.364389,4038.260394,5446.473181
2025-09-05,6376.428847,2304.0,950,5148.658610142857,5046.5930610000005,4655.573939,7464.2541,4072.7329
2025-09-06,5829.9537470000005,2247.0,915,5158.286363,5091.9473136999995,6376.428847,5762.559477,4469.326166
2025-09-07,3020.44154,1469.0,671,4935.064215857143,4990.997946333333,5829.9537470000005,4582.99657,6048.922561
2025-09-08,4172.517736,1854.0,850,4792.884,4943.714716766667,3020.44154,5167.7792469999995,5591.014623
2025-09-09,4618.865045,2020.0,868,4731.449320428571,4997.690056133333,4172.517736,5048.907802,2999.604864
2025-09-10,4181.002229,1859.0,814,4693.540440428572,4991.7516971000005,4618.865045,4446.364389,4359.153
2025-09-11,4802.528919,2009.0,862,4714.534009,4983.3636129999995,4181.002229,4655.573939,5054.171442
2025-09-12,6585.80982,2580.0,1040,4744.445576571428,5034.7691707,4802.528919,6376.428847,5043.643089
2025-09-13,5108.226745,2270.0,906,4641.341719142857,5069.474634366667,6585.80982,5829.9537470000005,4067.062835
2025-09-14,3339.552102,1548.0,707,4686.928942285714,4924.335712066666,5108.226745,3020.44154,7693.719771
2025-09-15,3803.348494,1773.0,810,4634.190479142858,4853.558277066667,3339.552102,4172.517736,5926.671544
2025-09-16,4682.513711,1907.0,826,4643.283145714287,4874.883190933334,3803.348494,4618.865045,4042.766295
2025-09-17,4840.723072,1854.0,826,4737.528980428571,4877.691911033334,4682.513711,4181.002229,4756.461469
2025-09-18,4144.136401,1794.0,783,4643.472906428571,4845.675459,4840.723072,4802.528919,5104.629962
